Bug ID,Remarks,Title ,Module,Platform ,Priority ,Bug Type,Test Type,Status,Short Description ,Test Steps,Expected Result,Actual Result,Screenshot,Reported By,Date 
Px - 09,,"Negative values are allowed in price, inventory, and shipping fields",Product / Add Product,Desktop ,Low,Bug Logic,Functional ,Open,System allows entering negative values in fields where only positive values should be accepted.,"1. Login to Proxema panel.
2. Go to Product module.
3. Click on “Add Product”.
4. In Price section, enter negative value in Regular Price and Sale Price.
5. In Inventory, enter negative value in Track Stock.
6. In Shipping fields, enter negative values. [When clicking on the input field, the up and down arrows appear. The up arrow increases the value, and the down arrow decreases it; however, when the value is at 0, clicking the down arrow directly changes it to a negative value (e.g., -0.01).]
",System should not allow negative values and should show validation message.,"System accepts negative values in price, inventory, and shipping fields without any validation.",https://prnt.sc/QlS11XfS8L8I,Arvind,22/04/2026
Px - 10,,Description editor options are not working in Add Product form,Product / Add Product / Description Field,Desktop ,Medium,Bug Frontend,Functional ,Open,"Description editor options like numbered list, bullet list, blockquote, and code are not working when clicked.","1. Login to Proxema panel.
2. Go to Product module.
3. Click on “Add Product”.
4. Go to Description field.
5. Click on options like Paragraph, Numbered List, Bullet List, Blockquote, and Code.
6. Observe the behavior.
",Selected option should apply formatting in the description field.,Clicking on options does not perform any action.,https://prnt.sc/WRiHpvREJl-n ,Arvind,22/04/2026
Px - 13,,Add auto-generate option for SKU field in Add Product form,Product / Add Product,Desktop ,Medium,Enhancement ,Functional ,Open,Add an option to automatically generate SKU for products instead of entering manually.,"1. Login to Proxema panel.
2. Go to Product module.
3. Click on “Add Product”.
4. Check SKU field for auto-generate option.
",System should provide an option (button or auto-fill) to generate SKU automatically.,"There is no option to auto-generate SKU, and user must enter it manually.",https://prnt.sc/3nJhG2oEo5gQ ,Arvind,22/04/2026
Px - 14,,Product can be published with only Product Name filled,Product / Add Product,Desktop ,High,Bug Logic,Functional ,Open,System allows publishing a product by entering only the Product Name without other important details.,"1. Login to Proxema panel.
2. Go to Product module.
3. Click on “Add Product”.
4. Enter only Product Name.
5. Leave all other fields empty.
6. Click on Publish.
",System should not allow publishing and should ask to fill required product details.,Product is published successfully with only Product Name entered.,https://prnt.sc/bXcfxSek51UC ,Arvind,22/04/2026
Px - 15,,Image upload sometimes fails and shows loading without uploading,Product / Gallery / Product Image Upload,Desktop ,Medium,Bug Backend ,Functional ,Open,Image upload does not complete sometimes and keeps showing loading without uploading the image.,"1. Login to Proxema panel.
2. Go to Product module.
3. Open Add Product or Edit Product.
4. Go to Gallery or Product Image section.
5. Click on “Upload New”.
6. Select an image to upload.
7. Observe the upload behavior.
","
Selected image should upload successfully and be displayed.
","Loading animation is shown, but image is not uploaded sometimes.
",,Arvind,22/04/2026
Px - 16,,Product status not updated in list after change until page refresh,Product / Product List / Edit Product,Desktop ,Medium,Bug Frontend,Functional ,Open,"After updating product status, the change is not reflected immediately in the product list. The same issue is observed for other statuses as well, such as Pending and Private.","1. Login to Proxema panel.
2. Go to Product module.
3. Open any product with Published status.
4. Click on Edit.
5. Change status to Draft.
6. Click on Update.
7. Observe the product list page.
8. Check both Published and Draft tabs.
9. Repeat the same steps for other statuses like Pending and Private.
",Product should appear only in the selected status tab and should be removed from the previous status immediately for all statuses.,Product appears in both old and new status tabs until the page is manually refreshed. The same issue occurs for other statuses like Pending and Private.,[ Screen recording is available. Please reach out.],Arvind,22/04/2026
Px - 17,,Published free product not visible in panel product list,Product / Add Product / Product List,Desktop ,High,Bug Backend ,Functional ,Open,"When a product is created with the “Free Product” option and published, it is successfully displayed on the website but not shown in the product list in the Proxema panel. This creates inconsistency between panel and website data.","1. Login to Proxema panel for Dr. Ala website.
2. Navigate to Product module.
3. Click on “Add Product” to open the form.
4. Enter all required product details.
5. In the Price section, select “Free Product”.
6. Click on “Publish”.
7. After publishing, you will be redirected to the product list page.
8. Search for the newly created product (e.g., “Anti Aging Cream”) in the panel.
9. Open the Dr. Ala website and check the same product.
","The published product should be visible in both the Proxema panel product list and the website, maintaining data consistency.","The product is successfully published and visible on the website, but it is not displayed in the product list in the Proxema panel.",[ Screen recording is available. Please reach out.],Arvind,22/04/2026
Px - 18,,Category filter shows “No product found” even when products exist,Product / Product List / Category Filter,Desktop ,High,Bug Logic,Functional ,Open,Category filter is not showing products even though products are available for the selected category.,"1. Login to Proxema panel for Dr. Ala website.
2. Go to Product module.
3. Click on Category dropdown on top left.
4. Select a category (e.g., “Skin Care”).
5. Observe the product list.
",Products related to the selected category should be displayed.,System shows “No product found” even though products exist in that category.,https://prnt.sc/XbyDXBGU2LwC ,Arvind,22/04/2026
Px - 19,,Updated stock status not reflected in product list without page refresh,Product / Product List / Edit Product,Desktop ,Medium,Bug Frontend,Functional ,Open,"After updating stock status, the change is not shown immediately in the product list.","1. Login to Proxema panel for Dr. Ala website.
2. Go to Product module.
3. Click on Edit for any product.
4. Check current stock status (e.g., Backorder).
5. Change status to “In Stock”.
6. Click on “Update”.
7. Observe the product list page.
",Updated stock status should be shown immediately in the product list.,Stock status still shows old value (Backorder) and updates only after page refresh.,[ Screen recording is available. Please reach out.],Arvind,22/04/2026
Px - 20,,Updated product details not reflected in product list without refresh,Product / Product List / Edit Product,Desktop ,Medium,Bug Frontend,Functional ,Open,"After editing and saving product details, the updated data is not shown immediately in the product widget.","1. Login to Proxema panel for Dr. Ala website.
2. Go to Product module.
3. Click on Edit for any product.
4. Mosift any fileds (ex: name, price, stock, etc)
5. Clcik on ""save changes.
6. Observe the product widget in product list after redirection.",Updated prodcut details should be refelcted immediately in the product list.,Changes are not visible immediately and appeat only after refreshing the page or waitng for some time.,[ Screen recording is available. Please reach out.],Arvind,22/04/2026
